FPR,TPR,Threshold
0.0,0.0,1.9646179114172782
0.0,0.010752688172043012,0.9646179114172782
0.0,0.07526881720430108,0.9084619442835247
0.020833333333333332,0.07526881720430108,0.9063858235462459
0.020833333333333332,0.10752688172043011,0.8901924380748655
0.041666666666666664,0.10752688172043011,0.8850729802020284
0.041666666666666664,0.20430107526881722,0.8713085314649842
0.0625,0.20430107526881722,0.8706757547595999
0.0625,0.25806451612903225,0.8662216723011921
0.08333333333333333,0.25806451612903225,0.8632908282517384
0.08333333333333333,0.2903225806451613,0.8596927570488734
0.10416666666666667,0.2903225806451613,0.8587124618852442
0.10416666666666667,0.34408602150537637,0.8545295993362371
0.14583333333333334,0.34408602150537637,0.8498907590886732
0.14583333333333334,0.41935483870967744,0.818977025077891
0.20833333333333334,0.41935483870967744,0.8047323532784043
0.20833333333333334,0.43010752688172044,0.7970205738361563
0.22916666666666666,0.43010752688172044,0.7958104898044837
0.22916666666666666,0.46236559139784944,0.779465337707508
0.25,0.46236559139784944,0.7739201074506861
0.25,0.5698924731182796,0.7489720690536584
0.2708333333333333,0.5698924731182796,0.7461436321474995
0.2708333333333333,0.5913978494623656,0.7442708221228107
0.3125,0.5913978494623656,0.7431156598073237
0.3125,0.6344086021505376,0.7340882569527936
0.3333333333333333,0.6344086021505376,0.7329082193277671
0.3333333333333333,0.6989247311827957,0.7265400985473908
0.3541666666666667,0.6989247311827957,0.7254209848863643
0.3541666666666667,0.8064516129032258,0.7061403261333999
0.375,0.8064516129032258,0.7056826670305036
0.375,0.8387096774193549,0.7026573917359649
0.3958333333333333,0.8387096774193549,0.7016697831894698
0.3958333333333333,0.8709677419354839,0.6987062117506722
0.4375,0.8709677419354839,0.6958981966700718
0.4375,0.967741935483871,0.6541141990569692
0.4583333333333333,0.967741935483871,0.6488201516711632
0.4583333333333333,0.978494623655914,0.6278543344562203
0.4791666666666667,0.978494623655914,0.6195072700501459
0.4791666666666667,1.0,0.6089933183775211
1.0,1.0,0.06358500059627817
